--2020-07-24 04:00:02--  ftp://bks-speedtest-1.tele2.net/100MB.zip
           => ‘/dev/null’
Resolving bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)... 90.130.74.113, 2a00:800:1010:9::2
Connecting to bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)|90.130.74.113|:21... connected.
Logging in as anonymous ... Logged in!
==> SYST ... done.    ==> PWD ... done.
 48850K .......... .......... .......... .......... .......... 47%  110M 1s
 48900K .......... .......... .......... .......... .......... 47% 50.3M 1s
 48950K .......... .......... .......... .......... .......... 47% 54.6M 1s
 49000K .......... .......... .......... .......... .......... 47% 55.8M 1s
 49050K .......... .......... .......... .......... .......... 47% 53.6M 1s
 49100K .......... .......... .......... .......... .......... 47% 89.9M 1s
 49150K .......... .......... .......... .......... .......... 48% 50.9M 1s
 49200K .......... .......... .......... .......... .......... 48% 50.1M 1s
 49250K .......... .......... .......... .......... .......... 48% 49.9M 1s
 49300K .......... .......... .......... .......... .......... 48%  116M 1s
 49350K .......... .......... .......... .......... .......... 48% 50.9M 1s
 49400K .......... .......... .......... .......... .......... 48% 49.9M 1s
 49450K .......... .......... .......... .......... .......... 48%  112M 1s
 49500K .......... .......... .......... .......... .......... 48%  112M 1s
 49550K .......... .......... .......... .......... .......... 48%  112M 1s
 49600K .......... .......... .......... .......... .......... 48%  101M 1s
 49650K .......... .......... .......... .......... .......... 48%  128M 1s
 49700K .......... .......... .......... .......... .......... 48%  106M 1s
 49750K .......... .......... .......... .......... .......... 48%  101M 1s
 49800K .......... .......... .......... .......... .......... 48%  133M 1s
 49850K .......... .......... .......... .......... .......... 48%  108M 1s
 49900K .......... .......... .......... .......... .......... 48%  105M 1s
 49950K .......... .......... .......... .......... .......... 48%  121M 1s
 50000K .......... .......... .......... .......... .......... 48%  109M 1s
 50050K .......... .......... .......... .......... .......... 48%  118M 1s
 50100K .......... .......... .......... .......... .......... 48%  107M 1s
 50150K .......... .......... .......... .......... .......... 49%  117M 1s
 50200K .......... .......... .......... .......... .......... 49%  101M 1s
 50250K .......... .......... .......... .......... .......... 49%  124M 1s
 50300K .......... .......... .......... .......... .......... 49%  113M 1s
 50350K .......... .......... .......... .......... .......... 49%  108M 1s
 50400K .......... .......... .......... .......... .......... 49%  107M 1s
 50450K .......... .......... .......... .......... .......... 49% 50.0M 1s
 50500K .......... .......... .......... .......... .......... 49%  114M 1s
 50550K .......... .......... .......... .......... .......... 49% 44.9M 1s
 50600K .......... .......... .......... .......... .......... 49% 35.1M 1s
 50650K .......... .......... .......... .......... .......... 49% 87.1M 1s
 50700K .......... .......... .......... .......... .......... 49%  118M 1s
 50750K .......... .......... .......... .......... .......... 49% 30.8M 1s
 50800K .......... .......... .......... .......... .......... 49% 49.0M 1s
 50850K .......... .......... .......... .......... .......... 49% 50.3M 1s
 50900K .......... .......... .......... .......... .......... 49% 49.2M 1s
 50950K .......... .......... .......... .......... .......... 49%  105M 1s
 51000K .......... .......... .......... .......... .......... 49% 51.5M 1s
 51050K .......... .......... .......... .......... .......... 49% 97.5M 1s
 51100K .......... .......... .......... .......... .......... 49%  121M 1s
 51150K .......... .......... .......... .......... .......... 50% 26.0M 1s
 51200K .......... .......... .......... .......... .......... 50%  404M 1s
 51250K .......... .......... .......... .......... .......... 50% 28.2M 1s
 51300K .......... .......... .......... .......... .......... 50% 14.1M 1s
 51350K .......... .......... .......... .......... .......... 50% 77.6M 1s
 51400K .......... .......... .......... .......... .......... 50% 59.4M 1s
 51450K .......... .......... .......... .......... .......... 50% 6.85M 1s
 51500K .......... .......... .......... .......... .......... 50% 71.6M 1s
 51550K .......... .......... .......... .......... .......... 50% 55.7M 1s
 51600K .......... .......... .......... .......... .......... 50% 78.8M 1s
 51650K .......... .......... .......... .......... .......... 50%  109M 1s
 51700K .......... .......... .......... .......... .......... 50% 61.0M 1s
 51750K .......... .......... .......... .......... .......... 50% 51.6M 1s
 51800K .......... .......... .......... .......... .......... 50% 34.8M 1s
 51850K .......... .......... .......... .......... .......... 50% 69.7M 1s
 51900K .......... .......... .......... .......... .......... 50%  110M 1s
 51950K .......... .......... .......... .......... .......... 50% 57.9M 1s
 52000K .......... .......... .......... .......... .......... 50% 47.7M 1s
 52050K .......... .......... .......... .......... .......... 50% 48.7M 1s
 52100K .......... .......... .......... .......... .......... 50%  107M 1s
 52150K .......... .......... .......... .......... .......... 50% 57.1M 1s
 52200K .......... .......... .......... .......... .......... 51% 65.9M 1s
 52250K .......... .......... .......... .......... .......... 51% 47.6M 1s
 52300K .......... .......... .......... .......... .......... 51% 47.7M 1s
 52350K .......... .......... .......... .......... .......... 51%  163M 1s
 52400K .......... .......... .......... .......... .......... 51% 48.6M 1s
 52450K .......... .......... .......... .......... .......... 51% 49.3M 1s
 52500K .......... .......... .......... .......... .......... 51% 54.5M 1s
 52550K .......... .......... .......... .......... .......... 51% 52.0M 1s
 52600K .......... .......... .......... .......... .......... 51%  115M 1s
 52650K .......... .......... .......... .......... .......... 51% 51.4M 1s
 52700K .......... .......... .......... .......... .......... 51% 39.0M 1s
 52750K .......... .......... .......... .......... .......... 51% 66.3M 1s
 52800K .......... .......... .......... .......... .......... 51%  134M 1s
 52850K .......... .......... .......... .......... .......... 51% 50.9M 1s
 52900K .......... .......... .......... .......... .......... 51% 51.4M 1s
 52950K .......... .......... .......... .......... .......... 51% 44.5M 1s
 53000K .......... .......... .......... .......... .......... 51% 43.1M 1s
 53050K .......... .......... .......... .......... .......... 51%  351M 1s
 53100K .......... .......... .......... .......... .......... 51% 48.9M 1s
 53150K .......... .......... .......... .......... .......... 51% 42.1M 1s
 53200K .......... .......... .......... .......... .......... 52% 54.0M 1s
 53250K .......... .......... .......... .......... .......... 52% 50.7M 1s
 53300K .......... .......... .......... .......... .......... 52%  405M 1s
 53350K .......... .......... .......... .......... .......... 52% 50.5M 1s
 53400K .......... .......... .......... .......... .......... 52% 49.8M 1s
 53450K .......... .......... .......... .......... .......... 52% 51.9M 1s
 53500K .......... .......... .......... .......... .......... 52%  122M 1s
 53550K .......... .......... .......... .......... .......... 52% 49.6M 1s
 53600K .......... .......... .......... .......... .......... 52% 47.8M 1s
 53650K .......... .......... .......... .......... .......... 52% 53.7M 1s
 53700K .......... .......... .......... .......... .......... 52% 42.8M 1s
 53750K .......... .......... .......... .......... .......... 52%  235M 1s
 53800K .......... .......... .......... .......... .......... 52% 54.4M 1s
 53850K .......... .......... .......... .......... .......... 52% 40.6M 1s
 53900K .......... .......... .......... .......... .......... 52% 49.3M 1s
 53950K .......... .......... .......... .......... .......... 52% 45.3M 1s
 54000K .......... .......... .......... .......... .......... 52%  396M 1s
 54050K .......... .......... .......... .......... .......... 52% 60.5M 1s
 54100K .......... .......... .......... .......... .......... 52% 47.2M 1s
 54150K .......... .......... .......... .......... .......... 52% 52.5M 1s
 54200K .......... .......... .......... .......... .......... 52%  131M 1s
 54250K .......... .......... .......... .......... .......... 53% 55.0M 1s
 54300K .......... .......... .......... .......... .......... 53% 16.8M 1s
 54350K .......... .......... .......... .......... .......... 53% 47.5M 1s
 54400K .......... .......... .......... .......... .......... 53%  266M 1s
 54450K .......... .......... .......... .......... .......... 53% 49.7M 1s
 54500K .......... .......... .......... .......... .......... 53% 54.4M 1s
 54550K .......... .......... .......... .......... .......... 53% 51.3M 1s
 54600K .......... .......... .......... .......... .......... 53% 51.0M 1s
 54650K .......... .......... .......... .......... .......... 53%  120M 1s
 54700K .......... .......... .......... .......... .......... 53% 53.0M 1s
 54750K .......... .......... .......... .......... .......... 53% 48.8M 1s
 54800K .......... .......... .......... .......... .......... 53% 44.0M 1s
 54850K .......... .......... .......... .......... .......... 53% 42.6M 1s
 54900K .......... .......... .......... .......... .......... 53%  113M 1s
 54950K .......... .......... .......... .......... .......... 53% 47.3M 1s
 55000K .......... .......... .......... .......... .......... 53% 50.1M 1s
 55050K .......... .......... .......... .......... .......... 53% 32.0M 1s
 55100K .......... .......... .......... .......... .......... 53%  101M 1s
 55150K .......... .......... .......... .......... .......... 53% 52.3M 1s
 55200K .......... .......... .......... .......... .......... 53% 47.0M 1s
 55250K .......... .......... .......... .......... .......... 54% 51.7M 1s
 55300K .......... .......... .......... .......... .......... 54% 49.7M 1s
 55350K .......... .......... .......... .......... .......... 54% 42.5M 1s
 55400K .......... .......... .......... .......... .......... 54% 56.7M 1s
 55450K .......... .......... .......... .......... .......... 54% 47.3M 1s
 55500K .......... .......... .......... .......... .......... 54% 51.2M 1s
 55550K .......... .......... .......... .......... .......... 54% 46.4M 1s
 55600K .......... .......... .......... .......... .......... 54%  126M 1s
 55650K .......... .......... .......... .......... .......... 54% 31.7M 1s
 55700K .......... .......... .......... .......... .......... 54% 48.5M 1s
 55750K .......... .......... .......... .......... .......... 54%  103M 1s
 55800K .......... .......... .......... .......... .......... 54% 51.6M 1s
 55850K .......... .......... .......... .......... .......... 54% 47.1M 1s
 55900K .......... .......... .......... .......... .......... 54% 39.4M 1s
 55950K .......... .......... .......... .......... .......... 54% 39.2M 1s
 56000K .......... .......... .......... .......... .......... 54%  103M 1s
 56050K .......... .......... .......... .......... .......... 54% 50.9M 1s
 56100K .......... .......... .......... .......... .......... 54% 48.9M 1s
 56150K .......... .......... .......... .......... .......... 54% 49.4M 1s
 56200K .......... .......... .......... .......... .......... 54% 42.0M 1s
 56250K .......... .......... .......... .......... .......... 54% 57.6M 1s
 56300K .......... .......... .......... .......... .......... 55%  108M 1s
 56350K .......... .......... .......... .......... .......... 55%  108M 1s
 56400K .......... .......... .......... .......... .......... 55%  129M 1s
 56450K .......... .......... .......... .......... .......... 55%  109M 1s
 56500K .......... .......... .......... .......... .......... 55%  114M 1s
 56550K .......... .......... .......... .......... .......... 55% 92.8M 1s
 56600K .......... .......... .......... .......... .......... 55%  114M 1s
 56650K .......... .......... .......... .......... .......... 55%  106M 1s
 56700K .......... .......... .......... .......... .......... 55%  101M 1s
 56750K .......... .......... .......... .......... .......... 55%  111M 1s
 56800K .......... .......... .......... .......... .......... 55% 79.9M 1s
 56850K .......... .......... .......... .......... .......... 55% 41.4M 1s
 56900K .......... .......... .......... .......... .......... 55% 37.5M 1s
 56950K .......... .......... .......... .......... .......... 55%  119M 1s
 57000K .......... .......... .......... .......... .......... 55% 48.7M 1s
 57050K .......... .......... .......... .......... .......... 55% 18.3M 1s
 57100K .......... .......... .......... .......... .......... 55% 48.9M 1s
 57150K .......... .......... .......... .......... .......... 55%  107M 1s
 57200K .......... .......... .......... .......... .......... 55% 47.1M 1s
 57250K .......... .......... .......... .......... .......... 55% 53.7M 1s
 57300K .......... .......... .......... .......... .......... 56% 37.1M 1s
 57350K .......... .......... .......... .......... .......... 56% 69.6M 1s
 57400K .......... .......... .......... .......... .......... 56% 48.5M 1s
 57450K .......... .......... .......... .......... .......... 56% 49.3M 1s
 57500K .......... .......... .......... .......... .......... 56% 49.1M 1s
 57550K .......... .......... .......... .......... .......... 56% 49.5M 1s
 57600K .......... .......... .......... .......... .......... 56%  110M 1s
 57650K .......... .......... .......... .......... .......... 56% 30.6M 1s
 57700K .......... .......... .......... .......... .......... 56% 53.0M 1s
 57750K .......... .......... .......... .......... .......... 56% 46.2M 1s
 57800K .......... .......... .......... .......... .......... 56% 51.6M 1s
 57850K .......... .......... .......... .......... .......... 56%  110M 1s
 57900K .......... .......... .......... .......... .......... 56% 48.7M 1s
 57950K .......... .......... .......... .......... .......... 56% 32.2M 1s
 58000K .......... .......... .......... .......... .......... 56% 46.8M 1s
 58050K .......... .......... .......... .......... .......... 56%  118M 1s
 58100K .......... .......... .......... .......... .......... 56% 49.7M 1s
 58150K .......... .......... .......... .......... .......... 56% 49.9M 1s
 58200K .......... .......... .......... .......... .......... 56% 48.7M 1s
 58250K .......... .......... .......... .......... .......... 56% 31.6M 1s
 58300K .......... .......... .......... .......... .......... 56%  115M 1s
 58350K .......... .......... .......... .......... .......... 57% 49.6M 1s
 58400K .......... .......... .......... .......... .......... 57% 18.2M 1s
 58450K .......... .......... .......... .......... .......... 57%  103M 1s
 58500K .......... .......... .......... .......... .......... 57%  128M 1s
 58550K .......... .......... .......... .......... .......... 57%  111M 1s
 58600K .......... .......... .......... .......... .......... 57% 39.4M 1s
 58650K .......... .......... .......... .......... .......... 57% 47.2M 1s
 58700K .......... .......... .......... .......... .......... 57% 50.3M 1s
 58750K .......... .......... .......... .......... .......... 57%  113M 1s
 58800K .......... .......... .......... .......... .......... 57% 36.0M 1s
 58850K .......... .......... .......... .......... .......... 57% 43.8M 1s
 58900K .......... .......... .......... .......... .......... 57% 45.4M 1s
 58950K .......... .......... .......... .......... .......... 57%  119M 1s
 59000K .......... .......... .......... .......... .......... 57% 47.9M 1s
 59050K .......... .......... .......... .......... .......... 57% 50.4M 1s
 59100K .......... .......... .......... .......... .......... 57% 47.4M 1s
 59150K .......... .......... .......... .......... .......... 57% 50.0M 1s
 59200K .......... .......... .......... .......... .......... 57%  122M 1s
 59250K .......... .......... .......... .......... .......... 57%  101M 1s
 59300K .......... .......... .......... .......... .......... 57%  122M 1s
 59350K .......... .......... .......... .......... .......... 58%  109M 1s
 59400K .......... .......... .......... .......... .......... 58% 39.6M 1s
 59450K .......... .......... .......... .......... .......... 58% 62.8M 1s
 59500K .......... .......... .......... .......... .......... 58% 54.6M 1s
 59550K .......... .......... .......... .......... .......... 58% 65.2M 1s
 59600K .......... .......... .......... .......... .......... 58% 36.5M 1s
 59650K .......... .......... .......... .......... .......... 58%  117M 1s
 59700K .......... .......... .......... .......... .......... 58% 31.3M 1s
 59750K .......... .......... .......... .......... .......... 58% 49.7M 1s
 59800K .......... .......... .......... .......... .......... 58% 50.6M 1s
 59850K .......... .......... .......... .......... .......... 58%  109M 1s
 59900K .......... .......... .......... .......... .......... 58% 49.4M 1s
 59950K .......... .......... .......... .......... .......... 58% 49.2M 1s
 60000K .......... .......... .......... .......... .......... 58%  110M 1s
 60050K .......... .......... .......... .......... .......... 58%  113M 1s
 60100K .......... .......... .......... .......... .......... 58%  108M 1s
 60150K .......... .......... .......... .......... .......... 58%  116M 1s
 60200K .......... .......... .......... .......... .......... 58%  113M 1s
 60250K .......... .......... .......... .......... .......... 58% 82.0M 1s
 60300K .......... .......... .......... .......... .......... 58% 33.2M 1s
 60350K .......... .......... .......... .......... .......... 58%  111M 1s
 60400K .......... .......... .......... .......... .......... 59% 49.6M 1s
 60450K .......... .......... .......... .......... .......... 59% 48.9M 1s
 60500K .......... .......... .......... .......... .......... 59% 48.4M 1s
 60550K .......... .......... .......... .......... .......... 59% 50.3M 1s
 60600K .......... .......... .......... .......... .......... 59%  106M 1s
 60650K .......... .......... .......... .......... .......... 59% 31.5M 1s
 60700K .......... .......... .......... .......... .......... 59% 28.7M 1s
 60750K .......... .......... .......... .......... .......... 59%  172M 1s
 60800K .......... .......... .......... .......... .......... 59% 50.0M 1s
 60850K .......... .......... .......... .......... .......... 59%  104M 1s
 60900K .......... .......... .......... .......... .......... 59% 36.9M 1s
 60950K .......... .......... .......... .......... .......... 59% 41.6M 1s
 61000K .......... .......... .......... .......... .......... 59% 44.6M 1s
 61050K .......... .......... .......... .......... .......... 59%  122M 1s
 61100K .......... .......... .......... .......... .......... 59% 47.6M 1s
 61150K .......... .......... .......... .......... .......... 59% 47.1M 1s
 61200K .......... .......... .......... .......... .......... 59% 15.2M 1s
 61250K .......... .......... .......... .......... .......... 59%  118M 1s
 61300K .......... .......... .......... .......... .......... 59%  103M 1s
 61350K .......... .......... .......... .......... .......... 59%  124M 1s
 61400K .......... .......... .......... .......... .......... 60% 88.6M 1s
 61450K .......... .......... .......... .......... .......... 60% 50.9M 1s
 61500K .......... .......... .......... .......... .......... 60%  110M 1s
 61550K .......... .......... .......... .......... .......... 60% 48.6M 1s
 61600K .......... .......... .......... .......... .......... 60% 48.3M 1s
 61650K .......... .......... .......... .......... .......... 60% 49.9M 1s
 61700K .......... .......... .......... .......... .......... 60%  103M 1s
 61750K .......... .......... .......... .......... .......... 60% 51.5M 1s
 61800K .......... .......... .......... .......... .......... 60% 48.3M 1s
 61850K .......... .......... .......... .......... .......... 60% 50.8M 1s
 61900K .......... .......... .......... .......... .......... 60% 49.1M 1s
 61950K .......... .......... .......... .......... .......... 60%  112M 1s
 62000K .......... .......... .......... .......... .......... 60% 47.1M 1s
 62050K .......... .......... .......... .......... .......... 60% 51.0M 1s
 62100K .......... .......... .......... .......... .......... 60% 48.3M 1s
 62150K .......... .......... .......... .......... .......... 60% 50.2M 1s
 62200K .......... .......... .......... .......... .......... 60%  103M 1s
 62250K .......... .......... .......... .......... .......... 60% 51.2M 1s
 62300K .......... .......... .......... .......... .......... 60% 48.2M 1s
 62350K .......... .......... .......... .......... .......... 60% 50.1M 1s
 62400K .......... .......... .......... .......... .......... 60% 99.8M 1s
 62450K .......... .......... .......... .......... .......... 61% 39.5M 1s
 62500K .......... .......... .......... .......... .......... 61% 92.8M 1s
 62550K .......... .......... .......... .......... .......... 61% 43.3M 1s
 62600K .......... .......... .......... .......... .......... 61% 18.3M 1s
 62650K .......... .......... .......... .......... .......... 61% 99.3M 1s
 62700K .......... .......... .......... .......... .......... 61%  120M 1s
 62750K .......... .......... .......... .......... .......... 61%  112M 1s
 62800K .......... .......... .......... .......... .......... 61%  116M 1s
 62850K .......... .......... .......... .......... .......... 61%  115M 1s
 62900K .......... .......... .......... .......... .......... 61%  100M 1s
 62950K .......... .......... .......... .......... .......... 61%  113M 1s
 63000K .......... .......... .......... .......... .......... 61% 47.9M 1s
 63050K .......... .......... .......... .......... .......... 61%  112M 1s
 63100K .......... .......... .......... .......... .......... 61% 46.1M 1s
 63150K .......... .......... .......... .......... .......... 61% 50.5M 1s
 63200K .......... .......... .......... .......... .......... 61% 49.4M 1s
 63250K .......... .......... .......... .......... .......... 61% 47.3M 1s
 63300K .......... .......... .......... .......... .......... 61%  124M 1s
 63350K .......... .......... .......... .......... .......... 61% 47.9M 1s
 63400K .......... .......... .......... .......... .......... 61% 50.1M 1s
 63450K .......... .......... .......... .......... .......... 62% 47.9M 1s
 63500K .......... .......... .......... .......... .......... 62% 51.3M 1s
 63550K .......... .......... .......... .......... .......... 62%  106M 1s
 63600K .......... .......... .......... .......... .......... 62% 51.3M 1s
 63650K .......... .......... .......... .......... .......... 62% 48.2M 1s
 63700K .......... .......... .......... .......... .......... 62% 49.7M 1s
 63750K .......... .......... .......... .......... .......... 62%  116M 1s
 63800K .......... .......... .......... .......... .......... 62% 48.4M 1s
 63850K .......... .......... .......... .......... .......... 62% 48.3M 1s
 63900K .......... .......... .......... .......... .......... 62% 50.0M 1s
 63950K .......... .......... .......... .......... .......... 62% 52.7M 1s
 64000K .......... .......... .......... .......... .......... 62% 92.6M 1s
 64050K .......... .......... .......... .......... .......... 62% 49.5M 1s
 64100K .......... .......... .......... .......... .......... 62% 15.1M 1s
 64150K .......... .......... .......... .......... .......... 62% 71.2M 1s
 64200K .......... .......... .......... .......... .......... 62% 80.4M 1s
 64250K .......... .......... .......... .......... .......... 62%  286M 1s
 64300K .......... .......... .......... .......... .......... 62%  190M 1s
 64350K .......... .......... .......... .......... .......... 62% 45.1M 1s
 64400K .......... .......... .......... .......... .......... 62% 47.8M 1s
 64450K .......... .......... .......... .......... .......... 62% 48.7M 1s
 64500K .......... .......... .......... .......... .......... 63% 49.4M 1s
 64550K .......... .......... .......... .......... .......... 63%  118M 1s
 64600K .......... .......... .......... .......... .......... 63% 48.4M 1s
 64650K .......... .......... .......... .......... .......... 63% 47.5M 1s
 64700K .......... .......... .......... .......... .......... 63% 51.0M 1s
 64750K .......... .......... .......... .......... .......... 63%  113M 1s
 64800K .......... .......... .......... .......... .......... 63% 48.0M 1s
 64850K .......... .......... .......... .......... .......... 63% 51.3M 1s
 64900K .......... .......... .......... .......... .......... 63% 47.9M 1s
 64950K .......... .......... .......... .......... .......... 63% 50.4M 1s
 65000K .......... .......... .......... .......... .......... 63% 47.9M 1s
 65050K .......... .......... .......... .......... .......... 63%  113M 1s
 65100K .......... .......... .......... .......... .......... 63% 48.8M 1s
 65150K .......... .......... .......... .......... .......... 63% 50.3M 1s
 65200K .......... .......... .......... .......... .......... 63% 45.9M 1s
 65250K .......... .......... .......... .......... .......... 63% 65.5M 1s
 65300K .......... .......... .......... .......... .......... 63% 92.0M 1s
 65350K .......... .......... .......... .......... .......... 63% 29.1M 1s
 65400K .......... .......... .......... .......... .......... 63%  110M 1s
 65450K .......... .......... .......... .......... .......... 63% 18.1M 1s
 65500K .......... .......... .......... .......... .......... 64%  123M 1s
 65550K .......... .......... .......... .......... .......... 64%  112M 1s
 65600K .......... .......... .......... .......... .......... 64%  111M 1s
 65650K .......... .......... .......... .......... .......... 64%  110M 1s
 65700K .......... .......... .......... .......... .......... 64%  113M 1s
 65750K .......... .......... .......... .......... .......... 64%  113M 1s
 65800K .......... .......... .......... .......... .......... 64%  113M 1s
 65850K .......... .......... .......... .......... .......... 64% 49.3M 1s
 65900K .......... .......... .......... .......... .......... 64% 36.3M 1s
 65950K .......... .......... .......... .......... .......... 64% 49.0M 1s
 66000K .......... .......... .......... .......... .......... 64% 49.6M 1s
 66050K .......... .......... .......... .......... .......... 64% 49.4M 1s
 66100K .......... .......... .......... .......... .......... 64%  100M 1s
 66150K .......... .......... .......... .......... .......... 64% 45.1M 1s
 66200K .......... .......... .......... .......... .......... 64% 52.2M 1s
 66250K .......... .......... .......... .......... .......... 64% 47.6M 1s
 66300K .......... .......... .......... .......... .......... 64%  117M 1s
 66350K .......... .......... .......... .......... .......... 64% 49.7M 1s
 66400K .......... .......... .......... .......... .......... 64% 57.8M 1s
 66450K .......... .......... .......... .......... .......... 64% 43.4M 1s
 66500K .......... .......... .......... .......... .......... 64%  105M 1s
 66550K .......... .......... .......... .......... .......... 65% 50.4M 1s
 66600K .......... .......... .......... .......... .......... 65% 48.6M 1s
 66650K .......... .......... .......... .......... .......... 65% 63.1M 1s
 66700K .......... .......... .......... .......... .......... 65% 40.1M 1s
 66750K .......... .......... .......... .......... .......... 65%  107M 1s
 66800K .......... .......... .......... .......... .......... 65% 50.3M 1s
 66850K .......... .......... .......... .......... .......... 65% 48.0M 1s
 66900K .......... .......... .......... .......... .......... 65% 18.2M 1s
 66950K .......... .......... .......... .......... .......... 65%  122M 1s
 67000K .......... .......... .......... .......... .......... 65%  115M 1s
 67050K .......... .......... .......... .......... .......... 65%  109M 1s
 67100K .......... .......... .......... .......... .......... 65% 36.8M 1s
 67150K .......... .......... .......... .......... .......... 65% 52.7M 1s
 67200K .......... .......... .......... .......... .......... 65% 50.5M 1s
 67250K .......... .......... .......... .......... .......... 65%  103M 1s
 67300K .......... .......... .......... .......... .......... 65% 50.1M 1s
 67350K .......... .......... .......... .......... .......... 65% 49.3M 1s
 67400K .......... .......... .......... .......... .......... 65% 49.1M 1s
 67450K .......... .......... .......... .......... .......... 65% 48.5M 1s
 67500K .......... .......... .......... .......... .......... 65%  103M 1s
 67550K .......... .......... .......... .......... .......... 66% 52.6M 1s
 67600K .......... .......... .......... .......... .......... 66% 47.9M 1s
 67650K .......... .......... .......... .......... .......... 66% 48.3M 1s
 67700K .......... .......... .......... .......... .......... 66%  124M 1s
 67750K .......... .......... .......... .......... .......... 66% 56.8M 1s
 67800K .......... .......... .......... .......... .......... 66% 43.6M 1s
 67850K .......... .......... .......... .......... .......... 66% 48.5M 1s
 67900K .......... .......... .......... .......... .......... 66% 49.3M 1s
 67950K .......... .......... .......... .......... .......... 66% 99.9M 1s
 68000K .......... .......... .......... .......... .......... 66% 32.6M 1s
 68050K .......... .......... .......... .......... .......... 66%  112M 1s
 68100K .......... .......... .......... .......... .......... 66% 49.9M 1s
 68150K .......... .......... .......... .......... .......... 66% 47.8M 1s
 68200K .......... .......... .......... .......... .......... 66%  113M 1s
 68250K .......... .......... .......... .......... .......... 66% 84.0M 1s
 68300K .......... .......... .......... .......... .......... 66% 58.4M 1s
 68350K .......... .......... .......... .......... .......... 66% 30.9M 1s
 68400K .......... .......... .......... .......... .......... 66%  108M 1s
 68450K .......... .......... .......... .......... .......... 66%  106M 1s
 68500K .......... .......... .......... .......... .......... 66%  133M 1s
 68550K .......... .......... .......... .......... .......... 66%  105M 1s
 68600K .......... .......... .......... .......... .......... 67% 48.1M 1s
 68650K .......... .......... .......... .......... .......... 67% 50.1M 1s
 68700K .......... .......... .......... .......... .......... 67% 45.8M 1s
 68750K .......... .......... .......... .......... .......... 67% 46.5M 1s
 68800K .......... .......... .......... .......... .......... 67%  115M 1s
 68850K .......... .......... .......... .......... .......... 67% 45.6M 1s
 68900K .......... .......... .......... .......... .......... 67% 46.0M 1s
 68950K .......... .......... .......... .......... .......... 67% 51.0M 1s
 69000K .......... .......... .......... .......... .......... 67%  127M 1s
 69050K .......... .......... .......... .......... .......... 67% 48.6M 1s
 69100K .......... .......... .......... .......... .......... 67% 50.7M 1s
 69150K .......... .......... .......... .......... .......... 67% 46.9M 1s
 69200K .......... .......... .......... .......... .......... 67% 51.1M 1s
 69250K .......... .......... .......... .......... .......... 67%  117M 1s
 69300K .......... .......... .......... .......... .......... 67% 47.1M 1s
 69350K .......... .......... .......... .......... .......... 67% 48.6M 1s
 69400K .......... .......... .......... .......... .......... 67% 45.6M 1s
 69450K .......... .......... .......... .......... .......... 67% 55.2M 1s
 69500K .......... .......... .......... .......... .......... 67%  111M 1s
 69550K .......... .......... .......... .......... .......... 67% 48.4M 1s
 69600K .......... .......... .......... .......... .......... 68% 49.7M 1s
 69650K .......... .......... .......... .......... .......... 68% 31.6M 1s
 69700K .......... .......... .......... .......... .......... 68%  103M 1s
 69750K .......... .......... .......... .......... .......... 68%  109M 1s
 69800K .......... .......... .......... .......... .......... 68% 48.9M 1s
 69850K .......... .......... .......... .......... .......... 68% 22.4M 1s
 69900K .......... .......... .......... .......... .......... 68%  111M 1s
 69950K .......... .......... .......... .......... .......... 68% 50.5M 1s
 70000K .......... .......... .......... .......... .......... 68% 46.3M 1s
 70050K .......... .......... .......... .......... .......... 68% 52.3M 1s
 70100K .......... .......... .......... .......... .......... 68% 48.1M 1s
 70150K .......... .......... .......... .......... .......... 68% 89.4M 1s
 70200K .......... .......... .......... .......... .......... 68% 42.2M 1s
 70250K .......... .......... .......... .......... .......... 68% 36.6M 1s
 70300K .......... .......... .......... .......... .......... 68% 78.1M 1s
 70350K .......... .......... .......... .......... .......... 68% 49.6M 1s
 70400K .......... .......... .......... .......... .......... 68% 67.9M 1s
 70450K .......... .......... .......... .......... .......... 68% 35.7M 1s
 70500K .......... .......... .......... .......... .......... 68% 73.5M 1s
 70550K .......... .......... .......... .......... .......... 68% 49.0M 1s
 70600K .......... .......... .......... .......... .......... 68%  122M 1s
 70650K .......... .......... .......... .......... .......... 69% 18.5M 1s
 70700K .......... .......... .......... .......... .......... 69%  258M 1s
 70750K .......... .......... .......... .......... .......... 69%  156M 1s
 70800K .......... .......... .......... .......... .......... 69% 55.9M 1s
 70850K .......... .......... .......... .......... .......... 69%  123M 1s
 70900K .......... .......... .......... .......... .......... 69% 43.8M 1s
 70950K .......... .......... .......... .......... .......... 69% 53.5M 1s
 71000K .......... .......... .......... .......... .......... 69% 48.6M 1s
 71050K .......... .......... .......... .......... .......... 69% 51.7M 1s
 71100K .......... .......... .......... .......... .......... 69%  108M 1s
 71150K .......... .......... .......... .......... .......... 69% 53.3M 1s
 71200K .......... .......... .......... .......... .......... 69% 99.4M 1s
 71250K .......... .......... .......... .......... .......... 69%  112M 1s
 71300K .......... .......... .......... .......... .......... 69% 83.0M 1s
 71350K .......... .......... .......... .......... .......... 69%  151M 1s
 71400K .......... .......... .......... .......... .......... 69% 45.3M 1s
 71450K .......... .......... .......... .......... .......... 69% 46.8M 1s
 71500K .......... .......... .......... .......... .......... 69% 70.0M 1s
